,animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_status,animal_remark,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,cDate,shelter_address,shelter_tel,year,month,day,animal_Variety_converted,animal_area,animal_shelter
0,337213,VAAAG112120103,2,49,臺北市動物之家,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,糖廍里大理街,OPEN,紅項圈,2023-12-17,2999-12-31,2023/12/17,2023/12/01,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1701414951806.png,2023/12/17,臺北市內湖區安美街191號,02-87913254,2023,12,01,米克斯,臺北市,臺北市動物之家
1,338905,VAAAG112121403,2,49,臺北市動物之家,狗,混種犬          ,F,MEDIUM,棕黑色,CHILD,F,F,延平北路六段,OPEN,CPV(-),2023-12-17,2999-12-31,2023/12/17,2023/12/14,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1702540179036.png,2023/12/17,臺北市內湖區安美街191號,02-87913254,2023,12,14,米克斯,臺北市,臺北市動物之家
2,339155,AAAHG1121217001,3,58,新北市五股區公立動物之家,狗,貴賓犬        ,F,SMALL,米色,ADULT,F,F,壟溝路/粉寮一街口,OPEN,無晶片協尋飼主中 20231229-10AM開放一般民眾認養,,2999-12-31,2023/12/17,2023/12/17,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1702782610869.png,2023/12/17,新北市五股區外寮路9-9號,02-82925265,2023,12,17,貴賓犬,新北市,新北市五股區公立動物之家
3,339152,DAAAG1121216002,7,63,新竹縣動物保護教育園區,狗,混種犬          ,M,MEDIUM,黑色,ADULT,F,F,,OPEN,立耳,2023-12-16,2999-12-31,2023/12/16,2023/12/15,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1702737759318.png,2023/12/16,新竹縣竹北市縣政五街192號,03-5519548,2023,12,15,米克斯,新竹縣,新竹縣動物收容所
4,339154,DAAAG1121216004,7,63,新竹縣動物保護教育園區,狗,混種犬          ,F,MEDIUM,黑色,ADULT,F,F,,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/12/15,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1702737991460.png,2023/12/16,新竹縣竹北市縣政五街192號,03-5519548,2023,12,15,米克斯,新竹縣,新竹縣動物收容所
5,339153,DAAAG1121216003,7,63,新竹縣動物保護教育園區,狗,混種犬          ,M,MEDIUM,黑色,ADULT,F,F,,OPEN,垂耳,2023-12-16,2999-12-31,2023/12/16,2023/12/15,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1702737926692.png,2023/12/16,新竹縣竹北市縣政五街192號,03-5519548,2023,12,15,米克斯,新竹縣,新竹縣動物收容所
6,338224,112-H111D,13,89,雲林縣流浪動物收容所,狗,混種犬          ,M,BIG,黃色,ADULT,T,F,口湖鄉埔北村,OPEN,,2023-12-06,2999-12-31,2023/12/16,2023/12/06,雲林縣流浪動物收容所,https://www.pet.gov.tw/upload/pic/1702257622079.png,2023/12/16,雲林縣斗六市雲林路二段517號,05-5523300,2023,12,06,米克斯,雲林縣,雲林縣流浪動物收容所
7,336774,AAADG2023112903,3,50,新北市板橋區公立動物之家,狗,混種犬          ,F,MEDIUM,黑色,ADULT,F,F,鎮前街,OPEN,,,2999-12-31,2023/12/16,2023/11/29,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1701391180555.png,2023/12/16,新北市板橋區板城路28-1號,02-89662158,2023,11,29,米克斯,新北市,新北市板橋區公立動物之家
8,336762,AAADG2023112901,3,50,新北市板橋區公立動物之家,狗,混種犬          ,M,SMALL,三花色,ADULT,F,F,篤行路三段,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/11/29,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1701236728993.png,2023/12/16,新北市板橋區板城路28-1號,02-89662158,2023,11,29,米克斯,新北市,新北市板橋區公立動物之家
9,258069,OAAAG1110603001,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,M,MEDIUM,咖啡色,CHILD,F,F,秀林鄉佳民119之2號,OPEN,,2023-05-13,2999-12-31,2023/12/16,2022/06/03,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/a44502a3-f13e-4421-b261-d8801b0d79a7.jpg,2023/12/16,花蓮縣鳳林鎮林榮里永豐路255號,038-421452,2022,06,03,米克斯,花蓮縣,花蓮縣流浪犬中途之家
10,339137,OAAAG1121216004,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,F,MEDIUM,白色,ADULT,T,F,,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/12/16,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1702706848231.png,2023/12/16,花蓮縣鳳林鎮林榮里永豐路255號,038-421452,2023,12,16,米克斯,花蓮縣,花蓮縣流浪犬中途之家
11,339136,OAAAG1121216003,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,F,MEDIUM,黃白色,ADULT,F,F,,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/12/16,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1702706630960.png,2023/12/16,花蓮縣鳳林鎮林榮里永豐路255號,038-421452,2023,12,16,米克斯,花蓮縣,花蓮縣流浪犬中途之家
12,339135,OAAAG1121216002,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,F,MEDIUM,黃白色,ADULT,F,F,,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/12/16,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1702706380245.png,2023/12/16,花蓮縣鳳林鎮林榮里永豐路255號,038-421452,2023,12,16,米克斯,花蓮縣,花蓮縣流浪犬中途之家
13,339131,OAAAG1121216001,19,79,花蓮縣狗貓躍動園區,狗,混種犬          ,F,MEDIUM,黃白色,ADULT,F,F,,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/12/16,花蓮縣狗貓躍動園區,https://www.pet.gov.tw/upload/pic/1702705974887.png,2023/12/16,花蓮縣鳳林鎮林榮里永豐路255號,038-421452,2023,12,16,米克斯,花蓮縣,花蓮縣流浪犬中途之家
14,332452,PAAAG1121101002,21,83,澎湖縣流浪動物收容中心,狗,混種犬          ,F,MEDIUM,黑黃色,CHILD,T,F,林務局,OPEN,,2023-11-15,2999-12-31,2023/12/16,2023/11/01,澎湖縣流浪動物收容中心,https://www.pet.gov.tw/upload/pic/1698819429411.png,2023/12/16,澎湖縣馬公市烏崁里260、261號,06-9213559,2023,11,01,米克斯,澎湖縣,澎湖縣流浪動物收容中心
15,332451,PAAAG1121101001,21,83,澎湖縣流浪動物收容中心,狗,混種犬          ,F,MEDIUM,黃白色,CHILD,T,F,林務局,OPEN,,2023-11-15,2999-12-31,2023/12/16,2023/11/01,澎湖縣流浪動物收容中心,https://www.pet.gov.tw/upload/pic/1698819246001.png,2023/12/16,澎湖縣馬公市烏崁里260、261號,06-9213559,2023,11,01,米克斯,澎湖縣,澎湖縣流浪動物收容中心
16,339128,GAAAG1121216003,11,69,彰化縣流浪狗中途之家,狗,柴犬                  ,F,MEDIUM,黃色,ADULT,F,F,建國陸橋,OPEN,通知飼主領回中(拾獲者有意優先認養，已緊急帶出醫療，目前不在所內),,2999-12-31,2023/12/16,2023/12/16,彰化縣流浪狗中途之家,https://www.pet.gov.tw/upload/pic/1702699362316.png,2023/12/16,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638,2023,12,16,柴犬,彰化縣,彰化縣流浪狗中途之家
17,339118,GAAAG1121216002,11,69,彰化縣流浪狗中途之家,狗,混種犬          ,F,MEDIUM,黑虎斑色,ADULT,F,F,羅厝路,OPEN,絕育後擇期開放認養,2023-12-16,2999-12-31,2023/12/16,2023/12/16,彰化縣流浪狗中途之家,https://www.pet.gov.tw/upload/pic/1702699647120.png,2023/12/16,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638,2023,12,16,米克斯,彰化縣,彰化縣流浪狗中途之家
18,339109,AAAEG1121216001,3,53,新北市中和區公立動物之家,狗,混種犬          ,F,MEDIUM,黑色,ADULT,T,F,,OPEN,,2023-12-16,2999-12-31,2023/12/16,2023/12/16,新北市中和區公立動物之家,https://www.pet.gov.tw/upload/pic/1702693109181.png,2023/12/16,新北市中和區興南路三段100號,02-86685547,2023,12,16,米克斯,新北市,新北市中和區公立動物之家
