,ID,fname,fitem,fsource,fwcn,fmat,fnut,fusage1,fusage2,fusage3,forigin,flegalname
0,A20190200357,希爾思寵物食品 成貓 7歲以上 雞肉特調食譜 (型號 10312HG),乾飼糧,輸入,3.5公斤、,雞肉、全穀粒小麥、玉米筋質粉、雞脂肪、釀造米、脫水甜菜漿、雞肝香料、硫酸鈣、乳酸、氯化鉀,粗蛋白質不低於27%/粗脂肪不低於16%/粗纖維不高於35%/水不高於8%/維生素e不低於550iu/kg/牛磺酸不低於01%/抗壞血酸(維生素c)不低於85mg/kg/omega-3脂肪酸不低於025%/omega-6脂肪酸不低於25%,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
1,A20181200015,希爾思™寵物食品 7歲以上成貓 活力長壽(型號010312HG),乾飼糧,輸入,3.5公斤、,雞肉、全穀粒小麥、玉米筋質粉、豬肉脂肪、釀造米、脫水甜菜漿、雞肝香料、硫酸鈣、乳酸、魚油,粗蛋白質不低於280%/粗脂肪不低於165%/粗纖維不高於35%/水不高於80%/磷不高於09%/鈉不高於05%/維生素e不低於550iu/kg/維生素c不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量體重。若無法確定餵食量，請向您的獸醫師諮詢。,請儲存於陰涼乾燥處,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
2,A20190200356,希爾思寵物食品 成貓 7歲以上 雞肉特調食譜 (型號 6498HG),乾飼糧,輸入,1.5公斤、,雞肉、全穀粒小麥、玉米筋質粉、雞脂肪、釀造米、脫水甜菜漿、雞肝香料、硫酸鈣、乳酸、氯化鉀,粗蛋白質不低於27%/粗脂肪不低於16%/粗纖維不高於35%/水不高於8%/維生素e不低於550iu/kg/牛磺酸不低於01%/抗壞血酸(維生素c)不低於85mg/kg/omega-3脂肪酸不低於025%/omega-6脂肪酸不低於25%,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
3,A20181200014,希爾思™寵物食品 7歲以上成貓 活力長壽(型號006498HG),乾飼糧,輸入,1.5公斤、,雞肉、全穀粒小麥、玉米筋質粉、豬肉脂肪、釀造米、脫水甜菜漿、雞肝香料、硫酸鈣、乳酸、魚油,粗蛋白質不低於280%/粗脂肪不低於165%/粗纖維不高於35%/水不高於80%/磷不高於09%/鈉不高於05%/維生素e不低於550iu/kg/維生素c不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量體重。若無法確定餵食量，請向您的獸醫師諮詢。,請儲存於陰涼乾燥處,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
4,A20190200373,希爾思寵物食品 成貓 7歲以上 高齡活力 雞肉特調食譜 (型號 10779),乾飼糧,輸入,5.89公斤、,雞肉、糙米、玉米筋質粉、全穀粒燕麥、豌豆蛋白、雞脂肪、雞肝香料、乳酸、黃豆油、脫水番茄粕,粗蛋白質不低於30%/粗脂肪不低於13%/粗纖維不高於3%/水不高於85%/維生素e不低於650iu/kg/抗壞血酸(維生素c)不低於100mg/kg/omega-3脂肪酸不低於025%/omega-6脂肪酸不低於2%,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
5,A20190200372,希爾思寵物食品 成貓 7歲以上 高齡活力 雞肉特調食譜 (型號 10777),乾飼糧,輸入,1.36公斤、,雞肉、糙米、玉米筋質粉、全穀粒燕麥、豌豆蛋白、雞脂肪、雞肝香料、乳酸、黃豆油、脫水番茄粕,粗蛋白質不低於30%/粗脂肪不低於13%/粗纖維不高於3%/水不高於85%/維生素e不低於650iu/kg/抗壞血酸(維生素c)不低於100mg/kg/omega-3脂肪酸不低於025%/omega-6脂肪酸不低於2%,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
6,A20190200374,希爾思寵物食品 成貓 敏感胃腸與皮膚 雞肉與米特調食譜 (型號 8523),乾飼糧,輸入,1.58公斤、,雞肉、釀造米、玉米筋質粉、全穀粒玉米、雞脂肪、雞肉粉、蛋製品、雞肝香料、黃豆油、乳酸,粗蛋白質不低於29%/粗脂肪不低於17%/粗纖維不高於3%/水不高於10%/維生素e不低於500iu/kg/抗壞血酸(維生素c)不低於85mg/kg/omega-6脂肪酸不低於3%,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
7,A20190200364,希爾思寵物食品 成貓 口腔保健 雞肉特調食譜 (型號 9288),乾飼糧,輸入,1.58公斤、,雞肉、糙米、玉米筋質粉、雞脂肪、纖維素粉、小麥筋質、雞肉粉、亞麻仁籽、雞肝香料、乳酸,粗蛋白質不低於29%/粗脂肪不低於175%/粗纖維不高於10%/水不高於10%/維生素e不低於450iu/kg/抗壞血酸(維生素c)不低於85mg/kg/omega-6脂肪酸不低於2%,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
8,A20181200139,希爾思™寵物食品 成貓 口腔保健(型號00009288),乾飼糧,輸入,1.58公斤、,雞肉、糙米、玉米筋質粉、雞肉脂肪、纖維素粉、小麥筋質、雞肉粉、亞麻仁籽、雞肝香料、乳酸,粗蛋白質不低於290%/粗脂肪不低於180%/粗纖維不高於100%/水不高於90%/維生素e不低於500iu/kg/維生素c不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量體重。若無法確定餵食量，請向您的獸醫師諮詢。,請儲存於陰涼乾燥處,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
9,A20211000179,希爾思寵物食品 成貓7歲以上 完美消化 雞肉、大麥及全燕麥特調食譜 (型號 606866),乾飼糧,輸入,1.58公斤、,雞肉、碎珍珠大麥、玉米筋質粉、全穀粒玉米、雞脂肪、全穀粒燕麥、雞肉粉、蛋製品、雞肝香料、胡桃殼粉,粗蛋白質不低於27%/粗脂肪不低於13%/粗纖維不高於4%/水不高於8%/維生素e不低於400iu/kg/抗壞血酸(維生素c)不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
10,A20211000178,希爾思寵物食品 成貓 完美消化 鮭魚食譜 (型號 606869),乾飼糧,輸入,1.58公斤、,鮭魚、糙米、玉米筋質粉、全穀粒燕麥、馬鈴薯蛋白、全穀粒玉米、雞脂肪、雞肉粉、蛋製品、雞肝香料,粗蛋白質不低於29%/粗脂肪不低於14%/粗纖維不高於4%/水不高於8%/維生素e不低於400iu/kg/抗壞血酸(維生素c)不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
11,A20211000177,希爾思寵物食品 成貓 完美消化 雞肉、大麥及全燕麥特調食譜 (型號 606864),乾飼糧,輸入,1.58公斤、,雞肉、碎珍珠大麥、玉米筋質粉、雞脂肪、全穀粒燕麥、全穀粒玉米、雞肉粉、蛋製品、雞肝香料、胡桃殼粉,粗蛋白質不低於29%/粗脂肪不低於14%/粗纖維不高於4%/水不高於8%/維生素e不低於400iu/kg/抗壞血酸(維生素c)不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
12,A20190200371,希爾思寵物食品 成貓 完美體重 雞肉特調食譜 (型號 2970),乾飼糧,輸入,6.8公斤、,雞肉、釀造米、玉米筋質粉、小麥筋質、纖維素粉、雞肉粉、脫水番茄粕、脫水甜菜漿、亞麻仁籽、雞脂肪,粗蛋白質不低於355%/粗脂肪不低於9%/粗纖維不低於4%/粗纖維不高於12%/水不高於8%/維生素e不低於450iu/kg/抗壞血酸(維生素c)不低於85mg/kg/肉酸素不低於300ppm,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
13,A20181100269,希爾思™寵物食品 完美體重 成貓(型號00002970),乾飼糧,輸入,6.81公斤、,雞肉，釀造米，玉米筋質粉，小麥筋質，纖維素粉，雞肉粉，脫水番茄粕，脫水甜菜漿，亞麻仁籽，雞肉脂肪,粗蛋白質不低於360%/粗脂肪不低於105%/粗纖維不高於100%/水不高於80%/維生素e不低於500iu/kg/維生素c不低於85mg/kg,貓用寵物食品/,請依照個體需求的量調整餵食量以維持適量體重。若無法確定餵食量，請向您的獸醫師諮詢/,請儲存於陰涼乾燥處/,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
14,A20190200370,希爾思寵物食品 成貓 完美體重 雞肉特調食譜 (型號 2968),乾飼糧,輸入,1.36公斤、,雞肉、釀造米、玉米筋質粉、小麥筋質、纖維素粉、雞肉粉、脫水番茄粕、脫水甜菜漿、亞麻仁籽、雞脂肪,粗蛋白質不低於355%/粗脂肪不低於9%/粗纖維不低於4%/粗纖維不高於12%/水不高於8%/維生素e不低於450iu/kg/抗壞血酸(維生素c)不低於85mg/kg/肉酸素不低於300ppm,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
15,A20181100268,希爾思™寵物食品 完美體重 成貓(型號00002968),乾飼糧,輸入,1.36公斤、,雞肉，釀造米，玉米筋質粉，小麥筋質，纖維素粉，雞肉粉，脫水番茄粕，脫水甜菜漿，亞麻仁籽，雞肉脂肪,粗蛋白質不低於360%/粗脂肪不低於105%/粗纖維不高於100%/水不高於80%/維生素e不低於500iu/kg/維生素c不低於85mg/kg,貓用寵物食品/,請依照個體需求的量調整餵食量以維持適量體重。若無法確定餵食量，請向您的獸醫師諮詢/,請儲存於陰涼乾燥處/,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
16,A20190400546,希爾思寵物食品 成貓 泌尿道毛球控制 雞肉特調食譜 (型號 10137),乾飼糧,輸入,7.03公斤、,雞肉、全穀粒小麥、玉米筋質粉、豬脂肪、纖維素粉、小麥筋質、雞肝香料、脫水甜菜漿、黃豆油、乳酸,粗蛋白質不低於295%/粗脂肪不低於16%/粗纖維不低於65%/粗纖維不高於11%/水不高於8%/鎂不高於009%/維生素e不低於500iu/kg/抗壞血酸(維生素c)不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
17,A20181100271,希爾思™寵物食品 成貓 泌尿道保健與毛球控制(型號00010137),乾飼糧,輸入,7公斤、,雞肉、全穀粒小麥、玉米筋質粉、豬肉脂肪、纖維素粉、小麥筋質、雞肝香料、脫水甜菜漿、黃豆油、乳酸,粗蛋白質不低於295%/粗脂肪不低於160%/粗纖維不低於65%/粗纖維不高於95%/水不高於80%/鎂不高於009%/維生素e不低於500iu/kg/維生素c不低於85mg/kg,貓用寵物食品/,請依照個體需求的量調整餵食量以維持適量體重。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥處,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
18,A20190400545,希爾思寵物食品 成貓 泌尿道毛球控制 雞肉特調食譜 (型號 10135),乾飼糧,輸入,1.58公斤、,雞肉、全穀粒小麥、玉米筋質粉、豬脂肪、纖維素粉、小麥筋質、雞肝香料、脫水甜菜漿、黃豆油、乳酸,粗蛋白質不低於295%/粗脂肪不低於16%/粗纖維不低於65%/粗纖維不高於11%/水不高於8%/鎂不高於009%/維生素e不低於500iu/kg/抗壞血酸(維生素c)不低於85mg/kg,貓用寵物食品,請依照個體需求的量調整餵食量以維持適量營養。若無法確定餵食量，請向您的獸醫師諮詢,請儲存於陰涼乾燥無蟲害處，並避免日曬，拆封後請盡速食用完畢//,美國,【公司】台灣希爾思寵物營養品有限公司 (負責人:Brad Allen Gale)
